sentence_number,sentence_text
5347,It said a 15 . 6 mln U . S . dlr four - well program was planned for 1987 .
5348,"After the acquisition , which is subject to Egyptian government approval , working interests in the Hurghada block will be Conoco Hurghada at 45 pct , Hispanoil 30 pct and Gulf Canada the balance ."
5349,CONVERGENT TECHNOLOGIES & lt ; CVGT . O > SEES QTR LOSS Convergent Technologies Inc said it expects to report in the first quarter a loss more than twice the size of the 4 . 8 - mln - dlr loss reported in the fourth quarter of 1986 .
5350,"Convergent reported a first quarter 1986 profit of 2 , 100 , 000 dlrs , or five cts per share ."
5351,The company said results declined in the quarter both in its traditional OEM business and its business systems group .
5352,"The anticipated loss reflects lower than expected operating margins , start - up costs for new product manufacturing and higher than planned expenses ."
5353,INTERCO & lt ; ISS > SHAREHOLDERS APPROVE MERGER INTERCO Inc said its shareholders and shareholders of the Lane Co & lt ; LANE . O > approved the merger of the two companies .
5354,"In the merger , Lane ' s stockholders will receive 1 . 5 shares of INTERCO common stock for each outstanding share of Lane common stock , INTERCO said ."
5355,"JOHN H . HARLAND CO & lt ; JH > 1ST QTR NET Shr 30 cts vs 25 cts Net 10 . 5 mln vs 8 , 697 , 589 Revs 71 . 9 mln vs 64 . 9 mln"
5356,"& lt ; TRAVELERS REALTY INCOME INVESTORS > 1ST QTR NET Shr 32 cts vs 38 cts Qtrly div 35 cts vs 35 cts prior Net 731 , 055 vs 865 , 117 NOTE : dividend payable May 20 to shareholders of record April 24 ."
5357,"DOTRONIX INC & lt ; DOTX . O > TO BUY & lt ; VIDEO MONITORS > Dotronix Inc said it agreed in principle to buy Video Monitors Inc , a privately - held company ."
5358,"In payment for the acquisition , Dotronix will issue 312 , 500 unregistered shares of its common stock , notes worth 1 . 8 mln dlrs payable over three years , and about 70 , 000 dlrs in cash ."
5359,"Dotronix said Video Monitors ' sales for the fiscal year ended April 30 , 1986 , were 7 . 6 mln dlrs ."
5360,"Dotronix had income of 659 , 663 dlrs on sales of 7 . 1 mln dlrs for the six months ended Dec . 31 , 1986 , as previously reported ."
5361,"DEVELCON ELECTRONICS LTD & lt ; DLCFF > 2ND QTR LOSS Period ended Feb 28 Shr loss 34 cts vs loss 58 cts Net loss 1 , 252 , 000 vs 2 , 145 , 000 Revs 4 , 539 , 000 vs 3 , 504 , 000 SIX MTHS Shr loss 66 cts vs loss 86 cts Net loss 2 , 428 , 000 vs loss 3 , 163 , 000 Revs 9 , 033 , 000 vs 8 , 192 , 000"
5362,"TEXACO FILING ADDS UNCERTAINTY IN OIL MARKET U . S . oil traders said Texaco Inc ' s filing for protection under the Chapter 11 bankruptcy code is adding uncertainty to an already skittish oil market , but opinions are divided on the impact to the market ."
5363,""" The filing is holding up wet barrel trading today ,"" said one trader ."
5364,""" Everyone is talking about it , assessing their company ' s situations in relation to Texaco ,"" he added ."
5365,Some traders said companies that deal with Texaco are concerned about whether they will receive payment or supplies under the bankruptcy filing .
5366,"However , others were less worried ."
5367,""" The first paid will be the trading community and those connected with Texaco in the shipping industry ,"" one New York trader said ."
5368,""" If Texaco doesn ' t get crude supplies it can ' t run its refineries , so its other assets would not be worth anything ,"" he added ."
5369,Texaco filed for protection under Chapter 11 of the U . S . bankruptcy code yesterday after failing to reach a settlement with Pennzoil on an 11 billion dlrs court award for illegally interferring with Pennzoil ' s proposed purchase of Getty Oil Co .
5370,"However , others were less worried ."
5371,""" The first paid will be the trading community and those connected with Texaco in the shipping industry ,"" one New York trader said ."
5372,""" If Texaco doesn ' t get crude supplies it can ' t run its refineries , so its other assets would not be worth anything ,"" he added ."
5373,"Texaco filed for protection under Chapter 11 of the U . S . bankruptcy code yesterday after failing to reach a settlement with Pennzoil on an 11 billion dlrs court award for illegally interferring with Pennzoil ' s proposed purchase of Getty Oil Co . "" There is some reluctance to trade with Texaco but no great change ,"" said another trader , adding that traders are tending toward prudence in their dealings with the company ."
5374,"Traders are assessing whether to require cash prepayment or letters of credit , or to continue to trade as usual with Texaco on an open line basis , he said ."
5375,"Another trader , however , described today ' s activity as business as usual , adding that traders feel more secure because no liens can be put on Texaco ' s assets while it is in bankruptcy ."
5376,Traders said there was no apparent effect of the Texaco filing on crude futures trading although they said the exchange might lower Texaco ' s position limit and require higher margins for Texaco ' s trades .
5377,"New York Mercantile Exchange President Rosemary McFadden declined to comment on Texaco ' s futures trading , saying that is is proprietary information ."
5378,"McFadden did say , however , that as a matter of procedure , it is possible the exchange can lower allowable position limits or increase margin requirements for companies that are in financial trouble ."
5379,VALLEY NATIONAL CORP & lt ; VNCP . O > 1ST QTR NET Shr 1 . 18 dlrs vs 1 . 15 dlrs Net 19 . 7 mln vs 19 . 3 mln Assets 10 . 05 billion vs 9 . 62 billion Deposits 8 . 56 billion vs 8 . 04 billion Net loans 6 . 95 billion vs 6 . 71 billion
5380,OTTER TAIL POWER CO & lt ; OTTR . O > SETS DIVIDEND Qtly dividend 73 cts vs 73 cts Pay June 10 Record May 15
5381,"MERRILL TO GET 30 MLN DLR FEE IN BORG & lt ; BOR > DEAL Merrill Lynch and Co Inc & lt ; MER > subsidiary seeking to take over of Borg - Warner Corp said it could realize a 30 mln dlr fee for its efforts , whether or not the deal , which it values at 4 . 7 billion dlrs , succeeds ."
5382,"In a filing with the Securities and Exchange Commission , Merrill Lynch Capital Partners Inc said it would receive a 30 mln dlr fee from the surviving company for acting as dealer manager of the merger after the Borg - Warner deal is completed ."
5383,"But it said it could also receive a break - up fee of 30 mln dlrs if the deal fails for reasons , which include another party holding more than 40 pct of its stock or tendering for 50 pct ."
5384,"The 30 mln dlr fee is among the highest set down in any tender offer agreement , either in compensation for dealer manager services or for break - up of the deal ."
5385,"Merrill Lynch Capital Markets , backed by a group of investors it organized , has launched a 48 . 50 dlr a share tender offer for Borg - Warner for 90 pct of its stock ."
5386,"The company ' s board has approved the plan , which was intended to thwart an unsolicited offer from GAF Corp . Borg - Warner also agreed to redeem all outstanding Series A preferred shares and to pay off on all options at a 48 . 50 dlr a share exercise price before the merger is effective , it said ."
5387,Merrill Lynch said its representatives discussed a possible leveraged buyout with Borg - Warner as early as last December .
5388,"At that time , Merrill Lynch told the company it would consider a 43 dlr a share tender offer in cash and securities , if the Borg - Warner board approved , it said ."
5389,"On Feb 24 , it said it was told the company had decided against a buyout ."
5390,"But talks were revived after GAF launched its 46 dlr a share proposal on March 31 , Merrill Lynch said ."
5391,"Unlike its earlier proposal , Merrill Lynch said Borg - Warner management was asked not to take part in the new deal and it was conditioned upon payment of the fees ."
5392,"In addition to its fees , Merrill Lynch said it will also get up to 17 mln dlrs from Borg - Warner to cover its expenses in the tender offer ."
5393,Merrill Lynch said it would continue operating Borg - Warner as a subsidiary with its current officers keeping their positions .
5394,"But for flexibility purposes , Merrill Lynch said it is considering redistributing Borg - Warner ' s assets to a number of subsdiaries of an entity it created to carry out the merger ."
5395,All in all Merrill Lynch estimated that there would be 130 mln dlrs in fees and expenses connected with the deal .
5396,"Another 250 mln dlrs will be needed to repay certain debt of Borg - Warner , Merrill Lynch said ."
5397,"To finance the deal , Merrill Lynch said it expects to borrow 3 . 5 billion dlrs from a group of banks and sell 100 mln dlrs of common stock of the new company , sell 100 mln dlrs of non - voting preferred stock of the new company to Merrill Lynch and Co , sell up to 650 mln dlrs of subordinated notes to Merrill Lynch and Co and sell to the public 204 mln dlrs of subordinated discount debentures ."
5398,GAF has raised its offer to 48 dlrs a share cash .
5399,"CHRYSLER & lt ; C > NON - PROFIT GROUP SELLS UNIT Chrysler Corp ' s Chrysler Motors Corp said its Chrysler Training Corp non - profit organization sold the name and assets of its Motech Auto Mechanic and Body Shop Schools to O / E Corp of Troy , Mich ."
5400,The sale price was not disclosed .
5401,"Under the Internal Revenue Service code , proceeds from the sale of Motech must be donated to another tax - exempt nonprofit organization ."
5402,Chrysler did not reveal the name of the group that received the proceeds .
5403,POTLATCH CORP & lt ; PCH > 1ST QTR NET Shr 63 cts vs 47 cts Net 16 . 8 mln vs 12 . 4 mln Sales 248 . 6 mln vs 233 . 3 mln
5404,DICEON ELECTRONICS & lt ; DICN . O > TO BUY SYMTRON CORP Diceon Electronics Inc said it has entered an agreement in principal to buy closely - held Symtron Corp in a stock exchange transaction .
5405,"Under the pact , Diceon would exchange 300 , 000 shares of its stock for all of Symtron ' s shares ."
5406,"The acquisition , which is subject to board approval and a definitive agreement , is expected to be concluded during May ."
5407,"Diceon said Symtron management would continue running the business , which would become a wholly - owned subsidiary ."
5408,Symtron had 1986 sales of about 20 mln dlrs .
5409,"ECUADOR SAYS WILL RESUME LIMITED OIL PRODUCTION Ecuador will resume limited crude output next week to fill up storage tanks as a first step to pump oil to a Colombian pipeline on May one , the state Ecuadorean Petroleum Corp ( CEPE ) said ."
5410,CEPE manager Carlos Romoleroux told reporters that Ecuador would begin pumping an unspecified amount of crude in northeastern jungle oilfields at the end of next week in preparation to send the oil through a new pipeline link - up to neighbouring Colombia .
5411,"Oil production in Ecuador was halted on March five when an earthquake damaged the country ' s main pipeline from Lago Agrio , at the heart of the Ecuadorean jungle oilfields , to the pacific port of Balao ."
5412,It will take at least until the end of July to repair the pipeline and return output to normal levels .
5413,"The country was pumping between 245 , 000 bpd and 250 , 000 bpd before the tremor ."
5414,"To resume limited output in the meantime , Ecuador is constructing a 26 mile pipeline linkup , capable of carrying 55 , 000 bpd , from Lago Agrio to Puerto Colon , the starting point of Colombia ' s pipeline to the Pacific port of Tumaco ."
5415,"The original target date to resume limited crude output was May eight , the scheduled date for the inauguration of the Lago Agrio to Puerto Colon pipeline , an energy ministry spokesman said ."
5416,"NEW ZEALAND CPI RISES 2 . 3 PCT IN MARCH QUARTER New Zealand ' s consumer price index , CPI , which measures the rate of inflation , rose 2 . 3 pct in the quarter ended March 31 against an 8 . 9 pct rise in the December 1986 quarter and a 2 . 3 pct rise in the March 1986 quarter , the Statistics Department said ."
5417,"For the 12 months ended March 1987 the CPI rose 18 . 3 pct against 18 . 2 pct in 12 months ended December 1986 and 13 . 0 pct in the 12 months ended March 1986 , it said in a statement ."
5418,"Nearly half the increase in the latest quarterly index was contributed by the housing group , the department said ."
5419,"The December quarter was significantly affected by the introduction of a 10 pct value added goods and services tax , GST , in October 1986 , it added ."
5420,"However , some GST charges not measured in the December 1986 quarter influenced the latest March quarterly figure , it said ."
5421,"This is because of an unavoidable lag in price information , particularly on housing , used cars and insurance on household contents , it added ."
5422,"Bank of Japan intervenes to support dollar after Tokyo opening , dealers"
5423,"Bank of Japan intervenes to support dollar after Tokyo opening , dealers"
5424,"BANK OF JAPAN INTERVENES IN TOKYO AFTER OPENING The Bank of Japan intervened in Tokyo to buy dollars just after the market opened , dealers said ."
5425,The dollar opened at 142 . 05 yen against 142 . 15 / 25 in New York and 142 . 50 at the close here yesterday .
5426,"The bank stepped into the market amid selling pressure from interbank dealers , dealers said ."
5427,"MIYAZAWA SEES EVENTUAL LOWER U . S . TRADE DEFICIT Japanese Finance Minister Kiichi Miyazawa told a press conference he expects the U . S . Trade deficit to eventually start reflecting economic fundamentals , which should influence exchange rates ."
5428,The minister was not referring to the U . S . Trade data to be released in Washington later today .
5429,Miyazawa also said he told major industrial nations when he was in Washington last week that present exchange rates are not necessarily good .
5430,He had said earlier in Washington that current exchange rates were within levels implied in the February Paris currency accord .
5431,Japan March wholesale prices rise 0 . 2 pct ( 0 . 1 pct February drop ) - official
5432,Japan March wholesale prices rise 0 . 2 pct ( 0 . 1 pct February drop ) - official
5433,"NO TALKS SET ON PROPOSED JAPAN TELECOM MERGER No formal talks have been scheduled yet among companies involved in a controversial proposal to merge two groups seeking to enter Japan ' s international telecommunications sector , an official from one group said ."
5434,""" Nothing has been firmed up yet ,"" said an official at & lt ; International Digital Communications Planning Inc > ( IDC ), one of the groups set up last year to study competing against & lt ; Kokusai Denshin Denwa Co Ltd >, which monopolises the sector ."
5435,"Britain ' s Cable and Wireless Plc & lt ; CAWL . L >, which holds a 20 pct share in IDC , has opposed plans to merge with rival group , & lt ; International Telecom Japan Inc >."
5436,"Under the plan , backed by the Post and Telecommunications Ministry , Cable and Wireless and U . S .- based & lt ; Pacific Telesis International Inc > would become core companies in the merged firm , with shares equal to those of the six major Japanese core companies and seats on the board of directors ."
5437,"Britain , angry over what it feels are moves to restrict Cable and Wireless ' role in the sector , views the issue as a test case ."
5438,The IDC official declined to specify what was holding up the talks .
5439,"A spokesman for C . Itoh and Co Ltd & lt ; CITT . T >, which holds 20 pct of IDC , said a meeting may be held later this week ."
5440,"HAITIAN CANE PLANTERS PROTEST SUGAR MILL CLOSURE About 2 , 000 sugar cane planters marched to Port - au - Prince to protest against the closure of Haiti ' s largest sugar mill and second biggest employer ."
5441,The Haitian American Sugar Company closed on Friday because of a huge surplus of unsold sugar .
5442,The firm said Haiti has been flooded with smuggled refined and unrefined sugar from the Dominican Republic and refined U . S . Sugar from Miami .
5443,"The closure idled 3 , 500 factory workers and left 30 , 000 small cane planters with no outlet for their cane ."
5444,"The protesters blamed Finance Minister Lesly Delatour for the closure , saying his policies have hurt Haitian businesses ."
5445,"CHINA TO OPEN FIRST PHASE OF LARGE ALUMINIUM PLANT China , a major aluminium importer , will open the first phase of its biggest aluminium plant on October 1 , the China Daily said ."
5446,"The first phase of the plant , located in Qinghai province , will have an annual capacity of 100 , 000 tonnes of ingots , half the capacity of the finished plant ."
5447,"It will turn out 4 , 000 tonnes in 1987 , the paper said , but gave no more details ."
5448,Construction of the 510 mln yuan plant began in April 1984 .
5449,"Customs figures show China imported 266 , 241 tonnes of aluminium and alloy in 1986 , down from 487 , 862 in 1985 ."
5450,"TAIWAN IMPORTS 210 , 000 TONNES SOUTH AFRICAN MAIZE Taiwan imported about 210 , 000 tonnes of South African maize between January 1 and April 13 , the joint committee of local maize importers said ."
5451,"Under a three - year agreement signed last year , South Africa will export 600 , 000 tonnes of maize a year to Taiwan ."
5452,A committee spokesman told Reuters the rest of this year ' s quota will be shipped during the rest of 1987 .
5453,TAIWAN LIKELY TO BUY MORE U . S . SOYBEANS A 50 pct cut in the import tariff for soybeans should help boost 1987 U . S .
5454,"Soybean exports to Taiwan , a spokesman for the joint committee of soybean importers told Reuters ."
5455,He said the cut to 3 . 5 from seven pct was approved by the cabinet yesterday and would go into effect within a week .
5456,"The cut will encourage local importers to increase 1987 soybean imports to 1 . 9 mln tonnes from 1 . 74 mln last year , he said ."
5457,The previous target for 1987 was 1 . 81 tonnes .
5458,Taiwan imports more than 90 pct of its soybeans from the U . S . And the rest from South America .
5459,"The spokesman said the increase in imports from the U . S . Is in line with government efforts to reduce Taiwan ' s trade surplus with Washington , which rose to 3 . 61 billion U . S . Dlrs in the first quarter of 1987 from 2 . 78 billion a year ago ."
5460,""" The tariff cut is very helpful for American suppliers ( who want ) to boost their exports to Taiwan ,"" Steve Chen , country director of the American Soybean Association , told Reuters ."
5461,"CHINA FACES EXTENDED SORGHUM SHORTAGE China will be short of sorghum in 1987 for the sixth successive year because high production costs and low profits discourage farmers from growing it , the China Daily Business Weekly said ."
5462,"It said sorghum output in calendar 1986 was 5 . 34 mln tonnes , down five pct from the 1985 level , and prices on the free market rose in January to 0 . 42 yuan per kg , up 14 pct on January 1986 ."
5463,It said sorghum acreage in 1987 is six pct lower than in 1986 .
5464,"Sorghum accounts for 40 pct of the raw materials needed by China ' s breweries , it added but gave no more details ."
5465,"Bank of Japan intervening to support dollar against yen , dealers"
5466,"Bank of Japan intervening to support dollar against yen , dealers"
5467,"JAPAN MARCH MONEY SUPPLY RISES 9 . 0 PCT Japan ' s broadly defined money supply average of M - 2 plus certificate of deposits ( CD ) rose a preliminary 9 . 0 pct in March from a year earlier , compared with an 8 . 8 pct rise in February , the Bank of Japan said ."
5468,"The seasonally adjusted March average of M - 2 plus CDs rose 0 . 8 pct from February when it rose an identical 0 . 8 pct from a month earlier , it said ."
5469,"Unadjusted M - 2 plus CDs stood at an average 343 , 600 billion yen in March compared with 336 , 015 billion in February ."
5470,"SOUTH KOREA TO CHANGE POLICIES TO AVERT TRADE WAR South Korea has decided on major changes in its trade , investment and finance policies aimed at reducing the growth of its balance of payments surplus and avoiding a trade war with the United States , Deputy Prime Minister Kim Mahn - je said ."
5471,"Kim told reporters the excessively fast rise in exports could make South Korea too reliant on exports , increase nflation and produce trade friction ."
5472,"The policy shift , which means abandoning Seoul ' s goal of rapidly reducing its foreign debt , was worked out at a series of ministerial meetings ."
5473,"Kim , who is also Economic Planning Minister , said the current account surplus , previously expected to exceed eight billion dlrs this year , would be held at about five billion dlrs by increasing imports , accelerating market liberalisation and rationalising exports ."
5474,"He said Seoul would try to limit its current account surplus to around five billion dlrs a year for the next few years , although trade volume would continue to grow ."
5475,""" This will gradually reduce the ratio of the surplus to GNP ( gross national product ) from the current five pct level to three pct by 1991 ,"" he added ."
5476,"Koo Bon - yong , an aide to Kim , said South Korea ' s foreign debt had been expected to fall below 40 billion dlrs by the end of 1987 , against the initial forecast of 41 . 8 billion , and 44 . 5 billion dlrs at end - 1986 ."
5477,""" But now ( with the policy changes ) the debt is expected to remain above 40 billion dlrs , although it could still be lower than the originally projected 41 . 8 billion dlrs ,"" he said ."
5478,The policy change was announced two days before the scheduled arrival of U . S . Commerce Secretary Malcolm Baldrige for talks with Trade Minister Rha Woong - bae .
5479,"South Korea is under U . S . Pressure to reduce its bilateral trade surplus , which rose to 7 . 4 billion dlrs last year from 4 . 3 billion dlrs in 1985 ."
5480,Kim said the policy changes were also prompted by the swing in South Korea ' s current account to a surplus of 2 . 06 billion dlrs in the first quarter of 1987 from a deficit of 438 mln dlrs in the same 1986 period .
5481,First quarter 1987 exports rose 36 pct to 9 . 4 billion dlrs .
5482,"The government would make foreign currency loans worth 2 . 5 billion dlrs to firms willing to import capital goods , raw materials and equipment , preferably from the U . S ., He said ."
5483,""" The foreign currency - based loans , which carry interest at 1 . 5 points above LIBOR ( London Interbank Offered Rate ), are considerable incentives given to increase imports ,"" Koo said ."
5484,Koo said the loans would be repayable in foreign currency .
5485,""" It means they could become interest - free loans if the Korean currency continues to rise in value ,"" he said ."
5486,"He said the South Korean won would be revalued against the dollar gradually , but added "" We do not believe in rapid one - shot changes in the value of the won ."""
5487,"The won , fixed at 839 . 70 to the dollar today , has risen six pct against the dollar since the beginning of 1986 ."
5488,"BANK OF CHINA BUYS SHARE IN LUXEMBOURG COMPANY State - owned Bank of China has bought a three to five pct share of BAII Holding SA , a financial institution registered in Luxembourg , the China Daily Business Weekly said ."
5489,It said the institution is 50 pct owned by Arab interests and has set up a wholly owned commercial banking branch in Hong Kong but gave no more details .
5490,"SAUDI ARABIA WANTS TO INCREASE OIL SALES TO JAPAN Saudi Arabia hopes to increase the volume of its oil exports to Japan through expanding bilateral trade , Saudi Arabian Interior Minister Naif bin Abdul - Aziz said ."
5491,"He told a Tokyo reception his country hopes to raise crude and products exports to Japan to earlier levels , but did not elaborate ."
5492,"To promote trade , Saudi Arabia is inviting Japanese industries to do business there , he said ."
5493,"Japanese firms now have long - term contracts to import a total of 150 , 000 barrels per day of Saudi crude ."
5494,"U . S . URGES JAPAN TO OPEN FARM MARKET FURTHER U . S . Agriculture Secretary Richard Lyng has asked Japan to open its farm market further to help Washington cut its trade deficit and ease protectionist pressures , an Agriculture Ministry official told reporters ."
5495,"Hideo Maki , Director General of the ministry ' s Economic Affairs Bureau , quoted Lyng as telling Agriculture Minister Mutsuki Kato that the removal of import restrictions would help Japan as well as the United States ."
5496,"The meeting with Kato opened a 12 - day visit to Japan by Lyng , who is here to dicuss farm trade ."
5497,"However , Maki quoted Kato as replying that Japan was already the world ' s largest grain importer ."
5498,Kato added Japan is the largest customer for U . S .
5499,Grain and depended on domestic output for only 53 pct of its food requirements in 1985 .
5500,Lyng said the U . S .
5501,Put high priority on talks on 12 farm products named in U . S .
5502,"Complaints against Japan to the General Agreement on Tariffs and Trade ( GATT ) last year , as well as on beef , citrus products and rice ."
5503,Kato said Japan will maintain its current level of self - sufficiency and will try not to produce surplus rice because potential production is higher than domestic demand .
5504,"The world farm market suffers from surpluses because of rising production by exporting countries , he added ."
5505,"Lyng said the U . S . Has been trying to reduce farm product output with expensive programs , Maki said ."
5506,"Maki said the U . S . And Japan will hold detailed discussions on each trade item as well as a new round of GATT trade talks at a meeting on April 20 , in which U . S . Trade Representative Clayton Yeutter will join ."
5507,"60 , 000 TONNES CORN SMUGGLED INTO PHILIPPINES - PAPER At least 60 , 000 tonnes of corn worth 240 mln pesos have been smuggled into the Philippines over the past few months , the Manila Bulletin newspaper said , quoting an official in the National Food Authority ( NFA )."
5508,"The official , who was not named , said a large corn shortage and corruption among customs and Coast Guard personnel have jeopardised the government ' s ban on corn imports , which was aimed at saving foreign currency ."
5509,"The newspaper quoted NFA Marketing Director Jig Tan as saying monthly corn consumption stood at about 331 , 000 tonnes against a national stock inventory of 191 , 732 tonnes ."
5510,"Tan said a continuing drought affecting about 49 , 150 hectares of corn has led to the loss of 43 , 725 tonnes of corn worth 174 . 9 mln pesos and contributed to the shortage ."
5511,"The newspaper quoted Linda Geraldez , an NFA statistician , as saying despite the drought and the shortage , the total inventory at the end of the January / June crop season is expected to be at least 201 , 000 tonnes ."
5512,PAPER SAYS U . S . TRADE DEFICIT CUT TO 13 . 65 BILLION The Washington Post said the U . S . Commerce Department yesterday issued a new report showing that the U . S .
5513,"Merchandise trade deficit was 13 . 65 billion dollars in February , a reduction of 1 . 4 billion dlrs from the 15 . 06 billion figure the department reported only two days earlier ."
5514,"The newspaper said : "" News of the unexpectedly large 15 billion deficit helped batter the dollar ' s value on foreign exchange markets and boosted U . S . Interest rates ."
5515,""" However , the new report went largely unnoticed by financial markets since such a downward revision in the deficit is a monthly occurrence ."""
5516,"The Washington Post said : "" By law , the department must first publish what a top commerce official agreed are misleading trade figures and then wait 48 hours before putting out the more accurate ones ."""
5517,No one was immediately available at the Commerce Department for comment on the Washington Post report .
5518,"SOUTH KOREA ' S LEADING INDICATORS RISE IN FEBRUARY South Korea ' s index of leading indicators rose 1 . 9 pct to 172 . 9 ( base 1980 ) in February after a 0 . 8 pct rise in January , to stand 17 . 2 pct higher than in Feburary 1986 , provisional Economic Planning Board figures show ."
5519,"The index is based on 10 indicators which include export values , letters of credit received , warehouse stocks , M - 1 and M - 3 money supply figures and the composite stock exchange index ."
5520,"JAPAN ' S LDP TO CALL FOR FLEXIBLE MONETARY POLICIES Japan ' s ruling Liberal Democratic Party ( LDP ) will call for adequate and flexible management of the nation ' s monetary polices in its plan to expand domestic demand , a senior LDP official told Reuters ."
5521,"Junichiro Koizumi , the head of the LDP committee working out the plan , said the phrase should not be taken as implying an immediate cut in Japan ' s 2 . 5 pct discount rate ."
5522,""" The LDP generally believes that there is no need for a further discount rate cut at the moment ,"" he said ."
5523,But Koizumi said the LDP does not rule out a rate cut if necessary in the future .
5524,Bank of Japan Governor Satoshi Sumita told a press conference on Wednesday that the central bank does not have any intention of easing credit conditions .
5525,INDIA ' S ANNUAL INFLATION RATE DROPS MARGINALLY The Finance Ministry said India ' s wholesale - price linked inflation rate dropped marginally to 5 . 3 pct in all fiscal 1986 / 87 ended March from 5 . 8 pct in 1985 / 86 and 7 . 1 pct in 1984 / 85 .
5526,"The average wholesale - price related inflation stood at 5 . 2 pct in March this year against 5 . 1 pct a year ago , the Ministry said in a statement ."
5527,"It said wholesale prices of cement , textiles and jute fell in 1986 / 87 , compared with the previous year , but milk , cereals ( mainly wheat and rice ), fruits and vegetables , edible oils , tobacco and fertilisers were costlier in 1986 / 87 ."
5528,"JAPAN DETAILS PLAN TO STAVE OFF TRADE PROBLEMS Japan ' s Liberal Democratic Party ( LDP ) has drawn up a detailed plan calling for large tax cuts and an increase in government purchases of foreign goods , the head of the committee working out the plan , Junichiro Koizumi , said ."
5529,"The plan will also urge the government to double 1985 ' s official development assistance to 7 . 6 billion dlrs within five years instead of seven as the government had promised , senior LDP officials said at a press conference ."
5530,LDP executive council chairman Shintaro Abe will explain the plan to U . S . Officials when he visits the U . S . On April 19 .
5531,Abe ' s visit is to prepare for Prime Minister Yasuhiro Nakasone ' s talks with President Ronald Reagan later this month .
5532,Koizumi said the LDP plan will not specify the size of the tax cut or the amount of domestic demand to be stimulated .
5533,"However , top LDP executives will work out figures so that Abe will be able to offer specifics to U . S . Officials ."
5534,"The proposed increase in procurement of foreign goods by the government will probably include the purchase of super computers , LDP officials said ."
5535,"specific trade problems with other nations and will encourage flows of funds to developing countries , the officials said ."
5536,"The LDP expects the measures to prop up the economy and lessen trade problems with the U . S ., They added ."
5537,"The basic ideas of the LDP ' s plan were presented to and welcomed by monetary authorities of the major industrial nations in Washington last week , they said ."
5538,The LDP plan will form the basis for the last of several packages to stimulate Japanese domestic demand and will be unveiled by the government in late May .
5539,"CHINA TRADE DEFICIT FALLS SHARPLY , RESERVES RISE China ' s trade deficit in the first quarter fell to 1 . 05 billion dlrs from 3 . 04 billion in the same 1986 period , customs figures show ."
5540,"Zhang Zhongji , spokesman of the State Statistical Bureau , quoted the figures as showing exports rose 27 pct to 7 . 28 billion dlrs and imports fell 5 . 1 pct to 8 . 33 billion ."
5541,"He said if imports of gifts , foreign aid items and materials for joint ventures are excluded , the deficit was only 350 mln dlrs , and the surplus on invisibles was 700 mln ."
5542,"As a result , foreign exchange reserves increased somewhat from their level at end - 1986 , he said , but gave no figure ."
5543,"Official figures show the reserves at 10 . 514 billion dlrs at end - 1986 , down from 11 . 9 billion at end - 1985 ."
5544,"Zhang said one reason for the rise in exports was improved incentives to export firms , which are being allowed to retain more foreign exchange from the goods they sell ."
5545,He said first quarter exports to Hong Kong and Macao rose 35 . 5 pct to 2 . 48 billion dlrs and imports rose 55 . 3 pct to 1 . 46 billion .
5546,Exports to Japan fell 2 . 3 pct to 1 . 28 billion and imports 24 . 4 pct to 2 . 14 billion .
5547,Exports to the U . S . Rose 23 pct to 640 mln dlrs and imports fell 26 . 7 pct to 840 mln .
5548,"Exports to the EEC rose 35 . 1 pct to 770 mln dlrs and imports fell 3 . 8 pct to 1 . 5 billion , he said ."
5549,"THAI VENTURE WILL SELL RUBBER TO CHINA Teck Soon Co Ltd , a major Thai rubber exporter has formed a joint venture with state - owned Chinese International Economic and Technology Development Corp to produce 50 , 000 tonnes of sheet rubber annually for export to the Chinese auto industry , Teck Soon general manager Chit Surivitchpan said ."
5550,Chit said a new joint venture company will have a registered capital of four mln dlrs .
5551,"China imported 69 , 952 tonnes of Thai sheet rubber last year and 60 , 296 tonnes in 1985 ."
5552,"JAPAN FARM REFORM A KEY TO TRIMMING TRADE SURPLUS Basic reform of Japan ' s protected farm sector is a key to shifting its economy away from export to domestic - led growth , a vital step if it is to trim its trade surplus , securities analysts said ."
5553,"The farm sector , which is protected by import tariffs and quotas , propped up by subsidies and price supports , and sheltered by the tax system , has ample room for change , they said ."
5554,""" In economic terms , reform would be a plus ,"" said Christopher Chew of brokerage firm James Capel and Co ."
5555,"The ultimate cost of the existing system is food prices twice those in Europe and two to three times those in the U . S ., The analysts said ."
5556,"Spending on food accounts for about one quarter of the average household ' s budget and roughly 10 pct of the gross national product ( GNP ), according to a study by Chew ."
5557,"Reducing these prices could increase household spending power by five pct , his study said ."
5558,"The money could be spent on products which would have a more direct impact in boosting domestic growth , it added ."
5559,""" There ' s a lot of slack ,"" a U . S . Government official in Tokyo said ."
5560,""" All that money could be spent on something else ."""
5561,Direct central government subsidies to the farm sector amount to some five billion dlrs per year .
5562,Independent estimates put total subsidies from all sources as high as 37 billion and the analysts said much of that money is wasted .
5563,"Changing tax laws to encourage city residents who only farm on weekends to put their land up for sale for residential development would also give a boost to domestic spending , economists said ."
5564,""" Housing construction is the key strategic variable in the expansion of domestic demand ,"" wrote Chihiro Nakajima , professor at Kyoto Gakuen University ."
5565,Japanese business groups are calling for staged farm reform to shift some of the burden of trade friction and economic restructuring away from the manufacturing sector and onto the farm sector .
